CountryName,Population,GDP per capita,Health expenditure per capita,Life expectancy at birth,CO2 emissions,Urban population,Region
Seychelles,89770,12681.2845,382.2130945,73.19756098,0.37712352,52.319,Sub-Saharan Africa
Sierra Leone,5775902,368.2111442,47.1875489,48.22895122,0.093446282,38.241,Sub-Saharan Africa
Singapore,5076700,34758.35213,1833.327851,81.54146341,0.036849813,100,East Asia & Pacific
Sint Maarten (Dutch part),35474,,,,,100,Latin America & Caribbean
Slovak Republic,5391428,14623.60206,1377.726396,75.11219512,0.274325722,54.685,Europe & Central Asia
Slovenia,2048583,19330.49005,2083.05919,79.42195122,0.265270265,50.04,Europe & Central Asia
Solomon Islands,526177,984.727367,94.87137565,67.06565854,0.210442638,20.048,East Asia & Pacific
Somalia,9581714,,,54.02365854,,37.259,Sub-Saharan Africa
South Africa,50791808,5910.668523,614.7455098,54.3907561,0.741061619,62.218,Sub-Saharan Africa
South Sudan,10056475,,32.01725487,53.66490244,,17.855,Sub-Saharan Africa
Spain,46576897,26191.97388,2874.219608,81.62682927,0.176365964,78.442,Europe & Central Asia
Sri Lanka,20653000,1610.115277,81.95917606,73.75526829,0.077710472,18.321,South Asia
St. Kitts and Nevis,52352,10746.62018,727.1919287,,0.242847701,31.806,Latin America & Caribbean
St. Lucia,177397,5844.341341,530.0716106,74.47109756,0.215003944,18.45,Latin America & Caribbean
St. Martin (French part),30235,,,78.72195122,,,Latin America & Caribbean
St. Vincent and the Grenadines,109316,5388.278418,293.4660712,72.34639024,0.216508212,48.785,Latin America & Caribbean
Sudan,36114885,812.0372904,119.8713214,62.04258537,0.105451591,33.08,Sub-Saharan Africa
Suriname,518141,4262.950097,483.0634112,70.36273171,0.318497991,66.344,Latin America & Caribbean
Swaziland,1193148,2440.636937,259.5895145,48.3457561,0.113812611,21.492,Sub-Saharan Africa
Sweden,9378126,44877.9105,4694.463411,81.45121951,0.13068342,85.056,Europe & Central Asia
Switzerland,7824909,58138.63121,7697.315041,82.24634146,0.091403442,73.663,Europe & Central Asia
Syrian Arab Republic,20720602,,91.55207875,74.86763415,,55.677,Middle East & North Africa
Tajikistan,7581696,419.6208694,44.69031216,68.56339024,0.176106823,26.516,Europe & Central Asia
Tanzania,45648525,512.9901668,36.65099006,61.62560976,0.0731937,28.114,Sub-Saharan Africa
Thailand,66692024,3410.427649,182.9378481,73.69436585,0.329089909,44.08,East Asia & Pacific
Timor-Leste,1066409,682.5964373,36.47100101,65.94446341,0.091193054,29.507,East Asia & Pacific
Togo,6390851,387.6400322,39.75221635,57.28156098,0.218879548,37.533,Sub-Saharan Africa
Tonga,103947,2535.391761,163.4583381,72.18260976,0.227955969,23.389,East Asia & Pacific
Trinidad and Tobago,1328095,14093.9632,805.176147,69.79756098,1.281642404,9.092,Latin America & Caribbean
Tunisia,10547100,3820.678275,277.6787043,74.60243902,0.240490842,65.934,Middle East & North Africa
Turkey,72310416,7814.801237,565.602565,74.21119512,0.247752538,70.715,Europe & Central Asia
Turkmenistan,5041995,2632.427447,87.29381562,65.0212439,1.132228216,48.402,Europe & Central Asia
Turks and Caicos Islands,30993,,,,,90.228,Latin America & Caribbean
Tuvalu,9827,2423.261486,543.6924246,,,54.796,East Asia & Pacific
Uganda,33149417,400.453446,62.03873159,55.83665854,0.069711654,14.492,Sub-Saharan Africa
Ukraine,45870700,1974.621182,231.4101513,70.26536585,0.846244534,68.686,Europe & Central Asia
United Arab Emirates,8329453,24423.52398,1154.372348,76.6752439,0.350498183,84.055,Middle East & North Africa
United Kingdom,62766365,39300.96702,3442.345186,80.40243902,0.216835902,81.302,Europe & Central Asia
United States,309347057,43961.16848,8298.500925,78.54146341,0.354138149,80.772,North America
Uruguay,3374414,6873.312262,1014.631247,76.39460976,0.1119634,94.414,Latin America & Caribbean
Uzbekistan,28562400,755.3222652,75.66432282,67.8587561,0.882471185,36.191,Europe & Central Asia
Vanuatu,236299,2131.093536,138.6533757,70.84995122,0.168451167,24.589,East Asia & Pacific
Vietnam,86932500,900.4936927,82.81257104,75.31173171,0.392686783,30.392,East Asia & Pacific
West Bank and Gaza,3811102,1344.978808,,72.6404878,0.128285638,74.136,Middle East & North Africa
Zambia,13917439,908.7479171,63.08554251,56.38385366,0.058611374,38.725,Sub-Saharan Africa
Zimbabwe,13973897,372.2872902,,49.57465854,0.465144192,33.196,Sub-Saharan Africa
